Ingrédient (app);Produit (calendrier);Note
Ail;Ail sec (de garde);
Ail (tête);Ail sec (de garde);
Ananas;Ananas;
Aneth;Aneth;
Artichauts;Artichaut (camus, gros);
Artichauts à la romaine;Artichaut (camus, gros);préparation d'artichauts frais
Asperges blanches;Asperge blanche;
Asperges blanches (g);Asperge blanche;
Asperges vertes;Asperge verte;
Asperges vertes (botte);Asperge verte;
Aubergines;Aubergine;
Avocat;Avocat;
Basilic frais;Basilic;
Basilic Thaï;Basilic;assimilé au basilic
Betterave crues;Betterave rouge;
Blettes;Blette / bette à carde;
Brocoli;Brocoli;
Brocoli (g);Brocoli;
Bulbe de fenouil;Fenouil;
Butternut;Butternut (doubeurre);
Butternut (g);Butternut (doubeurre);
Carambole;Carambole;
Carotte;Carotte;
Carottes;Carotte;
Carottes (g);Carotte;
Carottes arc-en-ciel (g);Carotte;
Cerfeuil;Cerfeuil;
Cerfeuil (botte);Cerfeuil;
Cerfeuil (feuilles);Cerfeuil;
Champignons de Paris;Champignon de Paris;
Champignons de paris (GROS);Champignon de Paris;
Champignons shitaakés;Shiitaké;
Chou;Chou blanc (cabus);« Chou » sans précision : assimilé au chou blanc
Chou blanc;Chou blanc (cabus);
Chou Kale (feuilles);Chou kale;
Chou kale (g);Chou kale;
Chou kale (pièce);Chou kale;
Chou palmier;Chou kale;le chou palmier (cavolo nero) est un kale
Chou rouge;Chou rouge;
Chou rouge (g);Chou rouge;
Chou vert frisé (pommé);Chou vert frisé / chou de Milan;
Chou-fleur;Chou-fleur;
Chou-fleur (pièce);Chou-fleur;
Ciboules;Cébette / ciboule;
Ciboulette;Ciboulette;
Citron;Citron;
Zeste de citron;Citron;
Concombre;Concombre;
Concombre (g);Concombre;
Coriandre (bouquet);Coriandre;
Coriandre fraîche;Coriandre;
Courge;Courge (autres : Jack be little, Delicata, Bleue de Hongrie, Hokkaido…);
Courgette;Courgette;
Courgettes moyennes et fermes (idéalement claires);Courgette;
Cresson;Cresson;
Cèpes;Cèpe / bolets;frais supposé (les « Cèpes séchés » sont en Conserves, non concernés)
Cèpes frais;Cèpe / bolets;
Cébettes;Cébette / ciboule;
Oignons Cébette;Cébette / ciboule;
Céleri;Céleri-branche;
Céleri (branches);Céleri-branche;
Céleri boule;Céleri-rave;
Céleri-rave;Céleri-rave;
Datte;Datte;
Endives;Endive;
Epinards;Épinard;
Epinards (Pousses);Pousses d'épinard / mesclun;
Feuilles d'épinards;Épinard;
Pousses d'épinards;Pousses d'épinard / mesclun;
Estragon (botte);Estragon;
Figues;Figue (toutes variétés);
Fraise;Fraise remontante (Charlotte, Mara des bois, Seascape…);mai-oct. ; la Gariguette (mars-août) n'est pas distinguée dans l'app
Fruit de la passion;Fruit de la passion;
Fèves (écossés);Fève;
Grenade;Grenade;
Grenade (pièce);Grenade;
Haricots verts (g);Haricot vert;
Haricots verts frais;Haricot vert;
Kiwi;Kiwi;
Kombava-citron kaffir (feuilles);Combava;
Laitue;Laitue pommée (beurre);
Laitue Romaine;Romaine;
Salade;Laitue pommée (beurre);« Salade » sans précision : assimilée à la laitue (toute l'année)
Mangoustan;Mangoustan;
Mangue;Mangue;
Maïs (épis);Maïs doux (épi);
Menthe;Menthe;
Menthe (feuilles);Menthe;
Mesclun;Pousses d'épinard / mesclun;
morille;Morille;
Mâche;Mâche;
Mélange de tomates;Tomate ronde / grappe;
Navet;Navet;
Navets (petits);Navet;
Oignon blanc;Oignon blanc / oignon nouveau (botte);
Oignons nouveaux;Oignon blanc / oignon nouveau (botte);
Oignons nouveaux (botte);Oignon blanc / oignon nouveau (botte);
Oignons rouges;Oignon rouge;
Orange;Orange;
Origan frais;Origan / marjolaine;
Pak Choi;Pak choï;
Pamplemousse;Pamplemousse / pomelo;
Pomelo;Pamplemousse / pomelo;
Panais;Panais;
Patate douce;Patate douce;
Persil;Persil;
Persil (bouquet);Persil;
Persil plat;Persil;
Persil plat (botte);Persil;
Persil plat (brins);Persil;
Petites pommes de terre;Pomme de terre grenaille;
Pommes de terre nouvelles;Pomme de terre primeur / nouvelle;
Pommes de terre nouvelles (g);Pomme de terre primeur / nouvelle;
Rattes du Touquer;Ratte (du Touquet);
Petits pois;Petit pois;
Petits pois frais;Petit pois;
Pignons de pins;Pignon de pin;
Pignons de pin;Pignon de pin;
Pistaches;Pistache;
Pitaya;Pitaya;
Poireau;Poireau;
Poires;Poire (toutes variétés);
Pois gourmands;Pois gourmand / mange-tout;
Poivron jaune;Poivron;
Poivron romano;Poivron;
Poivron rouge;Poivron;
Poivron vert;Poivron;
Poivron vert turc;Poivron;
Poivrons (g);Poivron;
Pommes;Pomme (toutes variétés);
Pêche jaune;Pêche jaune;
Radis;Radis rose (botte);
Rhubarbe;Rhubarbe;
Roquette;Roquette;
Roquette (g);Roquette;
Rutabaga;Rutabaga;
Sauge;Sauge;
Sucrine;Sucrine;
Tomate grappe;Tomate ronde / grappe;
Tomate grappe (pièce);Tomate ronde / grappe;
Tomates;Tomate ronde / grappe;
Tomates (kg);Tomate ronde / grappe;
Tomates côtelées;Tomate ronde / grappe;
Tomates allongées;Tomate allongée (Roma, San Marzano, Peretti);
Tomates cerises;Tomate cerise / cocktail;
pourpier;Pourpier;
topinambour;Topinambour;
Oignons;;produit de garde (calendrier : trou juin-juil.) — laissé toute l'année, sinon la quasi-totalité des recettes sortirait en été
Oignons jaunes;;produit de garde — idem Oignons
Oignons petits;;produit de garde — idem Oignons
Echalote;;produit de garde (calendrier : trou en juin) — laissé toute l'année
Échalotes;;produit de garde — idem Echalote
Pommes de terre;;produit de garde (calendrier : trou en avril) — laissé toute l'année
Pommes de terre (g);;produit de garde — idem
Pommes de terre Maris Piper;;produit de garde — idem
Pomme de terre à chair farineuse;;produit de garde — idem
Pomme de terre à chair farineuse (g);;produit de garde — idem
