Catégorie;Produit;Jan;Fév;Mar;Avr;Mai;Juin;Juil;Août;Sep;Oct;Nov;Déc;Sources (sept.);Notes (sept.)
Légume · alliacées;Ail sec (de garde);;;;;;;;;1;;;;GP, IF, BNA, CV, BM;FL ne le donne que d'avril à août (récolte). Les autres sources le donnent toute l'année (garde)
Légume · alliacées;Ail frais / ail nouveau;;;;;;;;;;;;;IF (juin-juil.), FL (mai-juil.);Hors saison en septembre
Légume · alliacées;Ail rose de Lautrec (Label rouge);;;;;;;;;1;;;;= Ail sec (assimilé);Aucune source consultée ne le distingue de l'ail sec
Légume · alliacées;Ail violet de Cadours (AOP);;;;;;;;;1;;;;= Ail sec (assimilé);Aucune source consultée ne le distingue de l'ail sec
Légume · alliacées;Ail fumé d'Arleux;;;;;;;;;1;;;;= Ail sec (assimilé);Aucune source consultée ne le distingue de l'ail sec
Légume · alliacées;Aillet (ail vert);;;;;;;;;;;;;BNA (avr.-juin);Hors saison en septembre
Légume · alliacées;Ail des ours;;;;;;;;;;;;;ML (mars-avr.);Hors saison en septembre
Légume · alliacées;Oignon jaune (de garde);;;;;;;;;2;;;;FL (pleine saison sept.-oct.), GP, IF (cœur sept.-déc.), BNA, CV, BM, PG;
Légume · alliacées;Oignon rouge;;;;;;;;;2;;;;FL (pleine saison août-sept.), IF;
Légume · alliacées;Oignon doux des Cévennes (AOP);;;;;;;;;1;;;;IF (fiche oignon : variété citée, récolte d'automne);
Légume · alliacées;Oignon rosé de Roscoff (AOP);;;;;;;;;1;;;;IF (fiche oignon : variété citée, récolte d'automne);
Légume · alliacées;Oignon blanc / oignon nouveau (botte);;;;;;;;;1;;;;FL « petit oignon blanc » (mars-oct., pleine saison avr.-mai), IF « oignon primeur » (cœur sept.-avr.);
Légume · alliacées;Cébette / ciboule;;;;;;;;;1;;;;IF « oignon primeur » (même fiche), CJ (bottes dès mi-mars, via résumé);
Légume · alliacées;Échalote;;;;;;;;;2;;;;IF (cœur jan.-mai et sept.-déc.), BNA (juil.-déc.), PG;GP ne la donne qu'en oct.-déc.
Légume · alliacées;Échalote grise;;;;;;;;;2;;;;= Échalote (assimilée);La fiche IF ne distingue aucune variété
Légume · alliacées;Poireau;;;;;;;;;1;;;;FL, GP, BNA, CV (début), PG;
Légume · alliacées;Poireau primeur;;;;;;;;;1;;;;GF;Le calendrier IF prévoit une période « P » (primeur) non lisible dans le PDF
Légume · alliacées;Asperge blanche;;;;;;;;;;;;;FL (avr.-juin);Hors saison en septembre
Légume · alliacées;Asperge verte;;;;;;;;;;;;;FL (mai-juin);Hors saison en septembre
Légume · alliacées;Asperge violette;;;;;;;;;;;;;= Asperge blanche (assimilée);Hors saison en septembre
